,sold,listed,county_avg_value,sold_above_value,median_price,national_avg_value
2018-01-31,821.0,3962.0,456484.28064292134,0.15,430000.0,218048.1320679906
2018-02-28,665.0,3992.0,456329.06979134533,0.1212121212121212,420000.0,219231.4064594288
2018-03-31,862.0,4505.0,456719.33942136914,0.1387096774193548,425500.0,220596.3696746732
2018-04-30,1009.0,6092.0,457445.5225975746,0.1226851851851851,481500.0,221833.83852266156
2018-05-31,1168.0,5967.0,458471.4124445775,0.1381957773512476,445000.0,223036.31701257508
2018-06-30,1553.0,6040.0,458663.74190146313,0.1681877444589309,502000.0,223919.40989186693
2018-07-31,1395.0,5827.0,458205.9077588369,0.1497797356828193,504000.0,225025.7993288129
2018-08-31,1438.0,5466.0,457542.8411041973,0.1527165932452276,483000.0,226084.6479494516
2018-09-30,1039.0,5547.0,457232.83552728425,0.1265560165975103,425000.0,227141.71642520977
2018-10-31,1043.0,5466.0,457334.7268235158,0.1359649122807017,390000.0,227861.7080413973
2018-11-30,1001.0,4894.0,457507.3276072675,0.1065217391304347,411000.0,228589.94443200607
2018-12-31,993.0,4099.0,457233.2504590874,0.1128318584070796,432000.0,229374.8238945516
2019-01-31,748.0,4007.0,456330.95373525313,0.0817610062893081,427500.0,230341.7191647552
2019-02-28,676.0,4334.0,455510.7684380901,0.1007462686567164,394375.0,231481.22266906512
2019-03-31,854.0,5053.0,455362.99332299846,0.1304347826086956,400000.0,232710.52889562777
2019-04-30,972.0,5674.0,455806.7937397126,0.1590909090909091,440000.0,233818.0507471038
2019-05-31,1300.0,6370.0,455671.6348294937,0.1775700934579439,459325.0,234654.36204839463
2019-06-30,1360.0,6400.0,454903.0998898998,0.1506276150627615,480000.0,235389.6187722668
2019-07-31,1429.0,6098.0,454065.7087396445,0.1522911051212938,470000.0,236068.2232751006
2019-08-31,1367.0,5648.0,453289.0476907473,0.136604774535809,471500.0,236805.41869311623
2019-09-30,1073.0,5706.0,452298.6025870719,0.1431261770244821,420000.0,237452.3564264454
2019-10-31,1126.0,5515.0,451740.2181360466,0.1141396933560477,380000.0,238337.91553146555
2019-11-30,930.0,4857.0,451594.4889620664,0.1290322580645161,412500.0,239523.12416844687
2019-12-31,1091.0,4010.0,452065.92365578626,0.1382252559726962,420000.0,240903.5308643914
2020-01-31,889.0,3846.0,453115.5036544802,0.1277641277641277,435000.0,242391.35165129605
2020-02-29,707.0,4235.0,454666.7205432346,0.1184971098265895,405000.0,243847.76065086317
2020-03-31,923.0,4541.0,456836.8854378941,0.1720183486238532,424000.0,245376.9163906336
2020-04-30,940.0,3969.0,458365.5853719901,0.1934156378600823,449000.0,246713.2334696444
2020-05-31,1060.0,4583.0,458168.9421412847,0.1489361702127659,465000.0,247480.32776404775
2020-06-30,1234.0,4977.0,456499.5729101056,0.1786833855799373,512000.0,247933.73452246469
2020-07-31,1941.0,4988.0,455137.3597223619,0.2407239819004525,530000.0,248672.0427862911
2020-08-31,2099.0,4499.0,456875.39635566453,0.2869342442356959,560000.0,250373.4958185559
2020-09-30,1979.0,4419.0,462398.5248064792,0.3078970718722271,552000.0,253246.28081294097
2020-10-31,1946.0,4041.0,470801.19253014354,0.3226397800183318,560000.0,256718.84962236424
2020-11-30,1674.0,3334.0,480939.8997506685,0.3432682425488181,525000.0,260621.9172412341
2020-12-31,1672.0,2690.0,491566.4224243918,0.3523206751054852,569500.0,264410.8882774058
2021-01-31,1286.0,2567.0,501542.4069419547,0.3091334894613583,525000.0,268073.06540637714
2021-02-28,1021.0,2017.0,511102.6935747473,0.3060402684563758,586000.0,271829.04644536466
2021-03-31,1393.0,2407.0,519880.4530843515,0.3746341463414634,560000.0,275738.2734804239
2021-04-30,1521.0,2727.0,528453.8619495463,0.4441391941391941,610000.0,279984.58598905633
2021-05-31,1465.0,2957.0,537009.8026741528,0.5135658914728682,686000.0,284656.4062820314
2021-06-30,2169.0,2989.0,545438.0170458518,0.5632992327365729,675000.0,289667.88941770355
2021-07-31,1968.0,3031.0,551160.2642702392,0.5534246575342465,700250.0,294121.93938004895
2021-08-31,1825.0,2902.0,552943.0294226754,0.5040058266569556,641000.0,297225.2730968481
2021-09-30,1520.0,2707.0,551628.8555533226,0.4426508071367884,583950.0,299042.12714564026
2021-10-31,1380.0,2517.0,550564.0416686229,0.4353680430879713,540000.0,300831.31977451645
2021-11-30,1341.0,2011.0,551633.0930191906,0.4312938816449348,556000.0,303337.00052900804
2021-12-31,1402.0,1451.0,554873.9875734485,0.3879629629629629,575000.0,306473.2814388871
2022-01-31,1002.0,1306.0,561504.7090020092,0.4304461942257218,550000.0,310878.8735178546
2022-02-28,829.0,1358.0,570104.4456312234,0.4737732656514382,539000.0,316192.25855603366
2022-03-31,1121.0,1626.0,580531.8906880878,0.5494223363286265,615000.0,322443.19487696997
2022-04-30,1134.0,1869.0,590628.2888042295,0.6441326530612245,675000.0,328638.31936062255
2022-05-31,1160.0,2218.0,600473.0580416763,0.7087378640776699,660000.0,334146.74501174496
2022-06-30,1470.0,2424.0,608936.7458385524,0.7062445030782761,750000.0,338729.4243220286
2022-07-31,1398.0,2342.0,614172.2556032607,0.6537369914853358,700000.0,341129.6923237967
2022-08-31,1469.0,2155.0,614901.34385021,0.5560578661844484,712250.0,341484.4582295267
2022-09-30,1147.0,2015.0,612429.8054090518,0.458006718924972,627000.0,340216.83645881154
2022-10-31,980.0,1913.0,609960.2190009626,0.4351245085190039,635500.0,338980.08864739066
2022-11-30,877.0,1598.0,608768.0263053044,0.3936324167872648,620000.0,337931.8036843093
2022-12-31,852.0,1204.0,608644.658267356,0.3935681470137825,575000.0,336979.5392311223
2023-01-31,628.0,1161.0,608120.7016020947,0.3496801705756929,580000.0,335796.3125301235
2023-02-28,483.0,1126.0,608672.61045425,0.3455056179775281,550000.0,334987.7919264543
2023-03-31,800.0,1340.0,610237.1844488163,0.4809917355371901,610000.0,335029.19959523855
2023-04-30,788.0,1455.0,614862.3106940779,0.5750853242320819,625000.0,336073.8093484628
2023-05-31,859.0,1668.0,620511.6664062544,0.5821596244131455,684000.0,337756.9881060158
2023-06-30,1208.0,1754.0,627760.6714991784,0.6583783783783784,775000.0,339713.1895660357
2023-07-31,1001.0,1735.0,635467.8564830617,0.6291989664082688,760000.0,341456.75877386035
2023-08-31,1046.0,1453.0,643813.5408907946,0.6604477611940298,789000.0,343039.9636760472
2023-09-30,888.0,1503.0,652175.8074801667,0.5881458966565349,650000.0,344209.7586545642
2023-10-31,809.0,1571.0,659197.6013699159,0.5897009966777409,660000.0,345084.40277336823
2023-11-30,771.0,1302.0,665260.0844105369,0.5453020134228188,680000.0,345718.29381233227
2023-12-31,719.0,964.0,669493.1267666953,0.5490196078431373,645000.0,346181.85989915294
2024-01-31,575.0,986.0,672685.3119554287,0.4759725400457666,626000.0,346625.3092201509
2024-02-29,452.0,1145.0,676470.9753099025,0.4759725400457666,626000.0,347441.84998354025
