,United States
2000-01-31,120155.72491044489
2000-02-29,120360.69274217953
2000-03-31,120615.00658463186
2000-04-30,121161.185354863
2000-05-31,121789.86591323052
2000-06-30,122463.6460652416
2000-07-31,123176.0884756571
2000-08-31,123946.2918960888
2000-09-30,124748.45047927956
2000-10-31,125555.030763363
2000-11-30,126358.98276417328
2000-12-31,127163.35885774538
2001-01-31,127904.06583670682
2001-02-28,128554.92505900732
2001-03-31,129178.3490877401
2001-04-30,129847.1148505067
2001-05-31,130570.94861732522
2001-06-30,131316.7409194459
2001-07-31,132085.06852310928
2001-08-31,132888.20358605945
2001-09-30,133697.828873419
2001-10-31,134503.59605692516
2001-11-30,135253.89988107106
2001-12-31,135956.7151658398
2002-01-31,136579.0838512394
2002-02-28,137173.79018995469
2002-03-31,137779.29525609035
2002-04-30,138435.11696624945
2002-05-31,139159.82253068656
2002-06-30,139946.61430184785
2002-07-31,140810.2925281067
2002-08-31,141732.85746585365
2002-09-30,142666.78610338012
2002-10-31,143600.8427792414
2002-11-30,144489.89353358746
2002-12-31,145354.30911676606
2003-01-31,146135.25236347367
2003-02-28,146880.53934555745
2003-03-31,147622.65249115997
2003-04-30,148430.8917162143
2003-05-31,149323.46688731582
2003-06-30,150255.33556340815
2003-07-31,151238.82439640258
2003-08-31,152288.49577775877
2003-09-30,153401.33828775535
2003-10-31,154526.5934694299
2003-11-30,155568.3528927597
2003-12-31,156546.12414646283
2004-01-31,157476.39119203773
2004-02-29,158472.15154518498
2004-03-31,159571.67290729203
2004-04-30,160799.1989342449
2004-05-31,162180.43850443602
2004-06-30,163682.0550719076
2004-07-31,165303.7177559474
2004-08-31,166947.55523984417
2004-09-30,168569.23531372283
2004-10-31,170121.85631975078
2004-11-30,171581.8367703397
2004-12-31,173018.77901515923
2005-01-31,174409.74367437325
2005-02-28,175823.29045003094
2005-03-31,177275.89276307335
2005-04-30,178908.32846018253
2005-05-31,180641.53326310424
2005-06-30,182461.85180204044
2005-07-31,184294.4711415168
2005-08-31,186147.99285110427
2005-09-30,187969.82333560963
2005-10-31,189697.76686809713
2005-11-30,191281.80633781003
2005-12-31,192715.675805271
2006-01-31,193942.73724907727
2006-02-28,195084.0051238771
2006-03-31,196232.20890483868
2006-04-30,197462.99068450768
2006-05-31,198678.98702826363
2006-06-30,199758.38739367676
2006-07-31,200616.9687869562
2006-08-31,201291.11802163356
2006-09-30,201749.38233931185
2006-10-31,202090.50713884144
2006-11-30,202284.85110404444
2006-12-31,202417.1573018443
2007-01-31,202487.35062144825
2007-02-28,202558.856417589
2007-03-31,202622.94658035925
2007-04-30,202692.9004201788
2007-05-31,202653.608326562
2007-06-30,202452.06920832032
2007-07-31,202032.85213212424
2007-08-31,201527.92637746176
2007-09-30,200915.0498903326
2007-10-31,200251.1364855146
2007-11-30,199444.9175329432
2007-12-31,198586.87900008532
2008-01-31,197593.2031793539
2008-02-29,196497.360386833
2008-03-31,195262.9607298528
2008-04-30,193930.72361851376
