,interest,sp_index,unemp_rate,gdp,inflation,rent_index
1978-01-03,6.7,93.82,6.4,2202.76,62.7,67.1
1978-01-04,6.7,93.52,6.4,2202.76,62.7,67.1
1978-01-05,6.7,92.74,6.4,2202.76,62.7,67.1
1978-01-06,6.7,91.62,6.4,2202.76,62.7,67.1
1978-01-09,6.7,90.64,6.4,2202.76,62.7,67.1
1978-01-10,6.7,90.17,6.4,2202.76,62.7,67.1
1978-01-11,6.7,89.74,6.4,2202.76,62.7,67.1
1978-01-12,6.7,89.92,6.4,2202.76,62.7,67.1
1978-01-13,6.7,89.69,6.4,2202.76,62.7,67.1
1978-01-16,6.7,89.43,6.4,2202.76,62.7,67.1
1978-01-17,6.7,89.88,6.4,2202.76,62.7,67.1
1978-01-18,6.7,90.56,6.4,2202.76,62.7,67.1
1978-01-19,6.7,90.09,6.4,2202.76,62.7,67.1
1978-01-20,6.7,89.89,6.4,2202.76,62.7,67.1
1978-01-23,6.7,89.24,6.4,2202.76,62.7,67.1
1978-01-24,6.7,89.25,6.4,2202.76,62.7,67.1
1978-01-25,6.7,89.39,6.4,2202.76,62.7,67.1
1978-01-26,6.7,88.58,6.4,2202.76,62.7,67.1
1978-01-27,6.7,88.58,6.4,2202.76,62.7,67.1
1978-01-30,6.7,89.34,6.4,2202.76,62.7,67.1
1978-01-31,6.7,89.25,6.4,2202.76,62.7,67.1
1978-02-01,6.78,89.93,6.3,2202.76,63.0,67.5
1978-02-02,6.78,90.13,6.3,2202.76,63.0,67.5
1978-02-03,6.78,89.62,6.3,2202.76,63.0,67.5
1978-02-06,6.78,89.5,6.3,2202.76,63.0,67.5
1978-02-07,6.78,90.33,6.3,2202.76,63.0,67.5
1978-02-08,6.78,90.83,6.3,2202.76,63.0,67.5
1978-02-09,6.78,90.3,6.3,2202.76,63.0,67.5
1978-02-10,6.78,90.08,6.3,2202.76,63.0,67.5
1978-02-13,6.78,88.86,6.3,2202.76,63.0,67.5
1978-02-14,6.78,89.04,6.3,2202.76,63.0,67.5
1978-02-15,6.78,88.83,6.3,2202.76,63.0,67.5
1978-02-16,6.78,88.08,6.3,2202.76,63.0,67.5
1978-02-17,6.78,87.96,6.3,2202.76,63.0,67.5
1978-02-21,6.78,87.59,6.3,2202.76,63.0,67.5
1978-02-22,6.78,87.56,6.3,2202.76,63.0,67.5
1978-02-23,6.78,87.64,6.3,2202.76,63.0,67.5
1978-02-24,6.78,88.49,6.3,2202.76,63.0,67.5
1978-02-27,6.78,87.72,6.3,2202.76,63.0,67.5
1978-02-28,6.78,87.04,6.3,2202.76,63.0,67.5
1978-03-01,6.79,87.19,6.3,2202.76,63.4,67.8
1978-03-02,6.79,87.32,6.3,2202.76,63.4,67.8
1978-03-03,6.79,87.45,6.3,2202.76,63.4,67.8
1978-03-06,6.79,86.9,6.3,2202.76,63.4,67.8
1978-03-07,6.79,87.36,6.3,2202.76,63.4,67.8
1978-03-08,6.79,87.84,6.3,2202.76,63.4,67.8
1978-03-09,6.79,87.89,6.3,2202.76,63.4,67.8
1978-03-10,6.79,88.88,6.3,2202.76,63.4,67.8
1978-03-13,6.79,88.95,6.3,2202.76,63.4,67.8
1978-03-14,6.79,89.35,6.3,2202.76,63.4,67.8
1978-03-15,6.79,89.12,6.3,2202.76,63.4,67.8
1978-03-16,6.79,89.51,6.3,2202.76,63.4,67.8
1978-03-17,6.79,90.2,6.3,2202.76,63.4,67.8
1978-03-20,6.79,90.82,6.3,2202.76,63.4,67.8
1978-03-21,6.79,89.79,6.3,2202.76,63.4,67.8
1978-03-22,6.79,89.47,6.3,2202.76,63.4,67.8
1978-03-23,6.79,89.36,6.3,2202.76,63.4,67.8
1978-03-27,6.79,88.87,6.3,2202.76,63.4,67.8
1978-03-28,6.79,89.5,6.3,2202.76,63.4,67.8
1978-03-29,6.79,89.64,6.3,2202.76,63.4,67.8
1978-03-30,6.79,89.41,6.3,2202.76,63.4,67.8
1978-03-31,6.79,89.21,6.3,2202.76,63.4,67.8
1978-04-01,6.89,89.21,6.1,2331.633,63.9,68.2
1978-04-03,6.89,88.46,6.1,2331.633,63.9,68.2
1978-04-04,6.89,88.86,6.1,2331.633,63.9,68.2
1978-04-05,6.89,89.64,6.1,2331.633,63.9,68.2
1978-04-06,6.89,89.79,6.1,2331.633,63.9,68.2
1978-04-07,6.89,90.17,6.1,2331.633,63.9,68.2
1978-04-10,6.89,90.49,6.1,2331.633,63.9,68.2
1978-04-11,6.89,90.25,6.1,2331.633,63.9,68.2
1978-04-12,6.89,90.11,6.1,2331.633,63.9,68.2
1978-04-13,6.89,90.98,6.1,2331.633,63.9,68.2
1978-04-14,6.89,92.92,6.1,2331.633,63.9,68.2
1978-04-17,6.89,94.45,6.1,2331.633,63.9,68.2
1978-04-18,6.89,93.43,6.1,2331.633,63.9,68.2
1978-04-19,6.89,93.86,6.1,2331.633,63.9,68.2
1978-04-20,6.89,94.54,6.1,2331.633,63.9,68.2
1978-04-21,6.89,94.34,6.1,2331.633,63.9,68.2
1978-04-24,6.89,95.77,6.1,2331.633,63.9,68.2
1978-04-25,6.89,96.64,6.1,2331.633,63.9,68.2
1978-04-26,6.89,96.82,6.1,2331.633,63.9,68.2
1978-04-27,6.89,95.86,6.1,2331.633,63.9,68.2
1978-04-28,6.89,96.83,6.1,2331.633,63.9,68.2
1978-05-01,7.36,97.67,6.0,2331.633,64.5,68.7
