Date,Open,High,Low,Close
12/29/2000,"1,320.28","1,340.10","1,317.51","1,320.28"
12/28/2000,"1,334.22","1,335.93","1,325.78","1,334.22"
12/27/2000,"1,328.92","1,332.03","1,310.96","1,328.92"
12/26/2000,"1,315.19","1,315.94","1,301.64","1,315.19"
12/22/2000,"1,305.97","1,305.97","1,274.86","1,305.97"
12/21/2000,"1,274.86","1,285.31","1,254.07","1,274.86"
12/20/2000,"1,264.74","1,305.60","1,261.16","1,264.74"
12/19/2000,"1,305.60","1,346.44","1,305.20","1,305.60"
12/18/2000,"1,322.74","1,332.32","1,312.15","1,322.74"
12/15/2000,"1,312.15","1,340.93","1,305.38","1,312.15"
12/14/2000,"1,340.93","1,359.99","1,340.48","1,340.93"
12/13/2000,"1,359.99","1,385.82","1,358.48","1,359.99"
12/12/2000,"1,371.18","1,380.27","1,370.27","1,371.18"
12/11/2000,"1,380.20","1,389.05","1,364.14","1,380.20"
12/08/2000,"1,369.89","1,380.33","1,343.55","1,369.89"
12/07/2000,"1,343.55","1,353.50","1,339.26","1,343.55"
12/06/2000,"1,351.46","1,376.54","1,346.15","1,351.46"
12/05/2000,"1,376.54","1,376.56","1,324.97","1,376.54"
12/04/2000,"1,324.97","1,332.06","1,310.23","1,324.97"
12/01/2000,"1,315.23","1,334.67","1,307.02","1,315.23"
11/30/2000,"1,314.95","1,341.91","1,294.90","1,314.95"
11/29/2000,"1,341.91","1,352.38","1,329.28","1,341.91"
11/28/2000,"1,336.09","1,358.81","1,334.97","1,336.09"
11/27/2000,"1,348.97","1,362.50","1,341.77","1,348.97"
11/24/2000,"1,341.77","1,343.83","1,322.36","1,341.77"
11/22/2000,"1,322.36","1,347.35","1,321.89","1,322.36"
11/21/2000,"1,347.35","1,355.87","1,333.62","1,347.35"
11/20/2000,"1,342.62","1,367.72","1,341.67","1,342.62"
11/17/2000,"1,367.72","1,384.85","1,355.55","1,367.72"
11/16/2000,"1,372.32","1,394.68","1,370.40","1,372.32"
11/15/2000,"1,389.81","1,395.96","1,374.75","1,389.81"
11/14/2000,"1,382.95","1,390.06","1,351.26","1,382.95"
11/13/2000,"1,351.26","1,365.98","1,328.62","1,351.26"
11/10/2000,"1,365.98","1,400.14","1,365.97","1,365.98"
11/09/2000,"1,400.14","1,409.28","1,369.68","1,400.14"
11/08/2000,"1,409.28","1,437.28","1,408.78","1,409.28"
11/07/2000,"1,431.87","1,436.22","1,423.26","1,431.87"
11/06/2000,"1,432.19","1,438.46","1,427.72","1,432.19"
11/03/2000,"1,426.69","1,433.21","1,420.92","1,426.69"
11/02/2000,"1,428.32","1,433.27","1,421.13","1,428.32"
11/01/2000,"1,421.22","1,429.60","1,410.45","1,421.22"
10/31/2000,"1,429.40","1,432.22","1,398.66","1,429.40"
10/30/2000,"1,398.66","1,406.36","1,376.86","1,398.66"
10/27/2000,"1,379.58","1,384.57","1,364.13","1,379.58"
10/26/2000,"1,364.44","1,372.72","1,337.77","1,364.44"
10/25/2000,"1,364.90","1,398.13","1,362.21","1,364.90"
