,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2000-01-31,155665.69636267607,291733.9364290979,151781.14007351984,152999.49552056036,155064.14241831147
2000-02-29,155890.16460526566,293473.91028317687,152481.891300735,153487.221220056,155579.68800865434
2000-03-31,156524.44731689093,294785.42749820737,153195.38611313258,154006.11731130615,155666.8648411149
2000-04-30,157730.418478688,297498.593745554,154178.7586790344,154955.0926447933,156160.7063335641
2000-05-31,158822.18158489023,299857.77201997273,154868.1795995485,155833.1454365315,156740.35487949234
2000-06-30,159775.25562976196,302590.06484175904,155497.1762122578,156710.0014051491,157996.62700819765
2000-07-31,160348.24040933294,305482.6674152845,156496.44537673137,157617.9356283083,159497.92539791667
2000-08-31,161286.72209489343,308597.2488213218,157711.59493288884,158581.99434209938,161062.11461526036
2000-09-30,162184.14179162285,311685.64654257946,158979.78535233982,159575.06291603588,162501.54100901904
2000-10-31,163255.41928484742,314768.44243931345,160346.34398926733,160666.77283369692,163705.8757119204
2000-11-30,164424.39307808477,317961.34078820824,161699.5890878849,161597.6695465448,164556.94742623554
2000-12-31,165355.4626028129,321397.1866873963,162854.54293134483,162482.2187302288,165316.9516323784
2001-01-31,166532.17380780302,324838.8648086654,163589.0575772186,163148.34593480304,166049.9550794884
2001-02-28,167288.99399521362,327792.80369708943,164177.64444703053,163989.18859703044,166790.82239459793
2001-03-31,168387.37661546996,330324.0740871308,164947.7504782046,164908.79176675712,167167.28279642196
2001-04-30,169402.83054344004,333053.2031744942,166157.02045039376,165819.3687212904,167779.42882595316
2001-05-31,170732.28365429564,335705.4403117091,167446.1340761995,166594.04225987222,169097.5145798848
2001-06-30,172114.98063867143,338025.61711463623,168655.89398869808,167486.36266703528,170869.73118063982
2001-07-31,173131.01288355538,340058.376367439,169811.99251407493,168628.48245579485,172962.50705761169
2001-08-31,174109.87299199012,342470.07357836846,171780.49332190512,170093.7194472188,174997.34105212058
2001-09-30,174907.400828486,345274.4275448787,174086.0450409916,171610.76359161246,177457.7022465719
2001-10-31,176110.30344701538,348138.820621988,176680.22246146,173331.79802030572,179583.5162661002
2001-11-30,177424.5778660228,351002.70320528926,178613.38778886004,174955.10821481442,181477.66094095344
2001-12-31,178666.94196004773,353702.5547595659,179992.1246543158,176432.04474326145,183125.35625815848
2002-01-31,179869.7526913671,356485.6256802978,180721.48534379157,177639.10306027703,184595.3592501035
