,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2018-01-31,4261.0,3962.0,2858.0,1210.0,1374.0
2018-02-28,3802.0,3992.0,2616.0,1165.0,1278.0
2018-03-31,4249.0,4505.0,2892.0,1518.0,1380.0
2018-04-30,5108.0,6092.0,3397.0,1567.0,1475.0
2018-05-31,5294.0,5967.0,3482.0,1717.0,1622.0
2018-06-30,5806.0,6040.0,3498.0,1767.0,2055.0
2018-07-31,5565.0,5827.0,3446.0,1760.0,1812.0
2018-08-31,5465.0,5466.0,3486.0,1709.0,1810.0
2018-09-30,5448.0,5547.0,3408.0,1698.0,1780.0
2018-10-31,5399.0,5466.0,3322.0,1680.0,1727.0
2018-11-30,4843.0,4894.0,3013.0,1482.0,1530.0
2018-12-31,4052.0,4099.0,2587.0,1328.0,1375.0
2019-01-31,3828.0,4007.0,2463.0,1236.0,1299.0
2019-02-28,3836.0,4334.0,2499.0,1225.0,1320.0
2019-03-31,4333.0,5053.0,2863.0,1358.0,1411.0
2019-04-30,4878.0,5674.0,3187.0,1501.0,1519.0
2019-05-31,5472.0,6370.0,3547.0,1575.0,1658.0
2019-06-30,5544.0,6400.0,3594.0,1637.0,1742.0
2019-07-31,5495.0,6098.0,3497.0,1601.0,1743.0
2019-08-31,5454.0,5648.0,3436.0,1588.0,1713.0
2019-09-30,5386.0,5706.0,3350.0,1520.0,1730.0
2019-10-31,5197.0,5515.0,3182.0,1474.0,1675.0
2019-11-30,4559.0,4857.0,2778.0,1350.0,1484.0
2019-12-31,3770.0,4010.0,2324.0,1120.0,1279.0
2020-01-31,3601.0,3846.0,2261.0,1063.0,1210.0
2020-02-29,3599.0,4235.0,2338.0,1055.0,1222.0
2020-03-31,3758.0,4541.0,2468.0,1122.0,1176.0
2020-04-30,3286.0,3969.0,2178.0,984.0,1096.0
2020-05-31,3642.0,4583.0,2370.0,1068.0,1178.0
2020-06-30,3790.0,4977.0,2465.0,1076.0,1214.0
2020-07-31,3719.0,4988.0,2447.0,1001.0,1216.0
2020-08-31,3468.0,4499.0,2412.0,984.0,1272.0
2020-09-30,3611.0,4419.0,2443.0,998.0,1284.0
2020-10-31,3464.0,4041.0,2356.0,933.0,1278.0
2020-11-30,2956.0,3334.0,2099.0,795.0,1046.0
2020-12-31,2368.0,2690.0,1674.0,642.0,845.0
2021-01-31,2224.0,2567.0,1598.0,635.0,774.0
2021-02-28,1691.0,2017.0,1235.0,473.0,613.0
2021-03-31,2061.0,2407.0,1471.0,573.0,610.0
2021-04-30,2430.0,2727.0,1583.0,651.0,702.0
2021-05-31,2656.0,2957.0,1775.0,732.0,773.0
2021-06-30,2825.0,2989.0,1824.0,784.0,800.0
2021-07-31,2874.0,3031.0,1965.0,809.0,852.0
2021-08-31,2880.0,2902.0,2054.0,849.0,891.0
2021-09-30,2741.0,2707.0,1925.0,787.0,847.0
2021-10-31,2619.0,2517.0,1832.0,755.0,806.0
2021-11-30,2131.0,2011.0,1504.0,650.0,690.0
2021-12-31,1487.0,1451.0,1128.0,486.0,541.0
2022-01-31,1331.0,1306.0,1025.0,370.0,483.0
2022-02-28,1230.0,1358.0,921.0,344.0,430.0
2022-03-31,1546.0,1626.0,1198.0,437.0,473.0
2022-04-30,1922.0,1869.0,1393.0,514.0,529.0
2022-05-31,2152.0,2218.0,1479.0,620.0,611.0
2022-06-30,2338.0,2424.0,1643.0,640.0,698.0
2022-07-31,2297.0,2342.0,1660.0,686.0,704.0
2022-08-31,2167.0,2155.0,1620.0,665.0,674.0
2022-09-30,1898.0,2015.0,1526.0,636.0,627.0
2022-10-31,1828.0,1913.0,1476.0,596.0,585.0
2022-11-30,1545.0,1598.0,1318.0,510.0,521.0
2022-12-31,1210.0,1204.0,1064.0,376.0,420.0
2023-01-31,1119.0,1161.0,980.0,388.0,377.0
2023-02-28,1066.0,1126.0,872.0,327.0,351.0
2023-03-31,1214.0,1340.0,936.0,395.0,367.0
2023-04-30,1344.0,1455.0,1028.0,452.0,404.0
2023-05-31,1512.0,1668.0,1139.0,521.0,483.0
2023-06-30,1741.0,1754.0,1250.0,540.0,530.0
2023-07-31,1780.0,1735.0,1257.0,537.0,530.0
2023-08-31,1634.0,1453.0,1184.0,519.0,523.0
2023-09-30,1608.0,1503.0,1200.0,456.0,539.0
2023-10-31,1685.0,1571.0,1290.0,501.0,549.0
2023-11-30,1499.0,1302.0,1137.0,471.0,509.0
2023-12-31,1133.0,964.0,903.0,400.0,428.0
2024-01-31,1022.0,986.0,896.0,438.0,387.0
2024-02-29,1067.0,1145.0,857.0,406.0,373.0
