,"Hartford, CT","Bridgeport, CT","New Haven, CT"
2008-02-29,955.0,631.0,601.0
2008-03-31,1289.0,814.0,727.0
2008-04-30,1361.0,876.0,812.0
2008-05-31,1592.0,1010.0,969.0
2008-06-30,1880.0,1246.0,1075.0
2008-07-31,1787.0,1266.0,959.0
2008-08-31,1666.0,1079.0,994.0
2008-09-30,1412.0,922.0,812.0
2008-10-31,1493.0,813.0,841.0
2008-11-30,1080.0,547.0,671.0
2008-12-31,1132.0,627.0,657.0
2009-01-31,756.0,423.0,489.0
2009-02-28,799.0,445.0,432.0
2009-03-31,995.0,577.0,616.0
2009-04-30,1083.0,597.0,689.0
2009-05-31,1335.0,726.0,742.0
2009-06-30,1795.0,998.0,1024.0
2009-07-31,1933.0,1210.0,1184.0
2009-08-31,1715.0,1067.0,1005.0
2009-09-30,1476.0,935.0,933.0
2009-10-31,1698.0,992.0,1011.0
2009-11-30,1816.0,1030.0,1019.0
2009-12-31,1326.0,925.0,820.0
2010-01-31,868.0,662.0,600.0
2010-02-28,796.0,591.0,545.0
2010-03-31,1303.0,903.0,827.0
2010-04-30,1566.0,940.0,862.0
2010-05-31,1742.0,1029.0,951.0
2010-06-30,2253.0,1635.0,1359.0
2010-07-31,1239.0,1128.0,781.0
2010-08-31,1404.0,1146.0,799.0
2010-09-30,1165.0,860.0,788.0
2010-10-31,1050.0,849.0,637.0
2010-11-30,1166.0,770.0,688.0
2010-12-31,1153.0,968.0,761.0
2011-01-31,808.0,662.0,549.0
2011-02-28,764.0,557.0,531.0
2011-03-31,1064.0,740.0,682.0
2011-04-30,1062.0,888.0,737.0
2011-05-31,1341.0,1022.0,819.0
2011-06-30,1718.0,1463.0,993.0
2011-07-31,1407.0,982.0,843.0
2011-08-31,1484.0,1124.0,852.0
2011-09-30,1232.0,896.0,814.0
2011-10-31,1130.0,764.0,685.0
2011-11-30,1124.0,744.0,671.0
2011-12-31,1111.0,803.0,740.0
2012-01-31,743.0,615.0,571.0
2012-02-29,838.0,575.0,560.0
2012-03-31,1268.0,818.0,783.0
2012-04-30,1224.0,807.0,741.0
2012-05-31,1591.0,1102.0,956.0
2012-06-30,1858.0,1457.0,1099.0
2012-07-31,1831.0,1334.0,1039.0
2012-08-31,1869.0,1338.0,1137.0
2012-09-30,1418.0,898.0,880.0
2012-10-31,1567.0,942.0,858.0
2012-11-30,1561.0,1002.0,916.0
2012-12-31,1494.0,1064.0,936.0
2013-01-31,1192.0,793.0,702.0
2013-02-28,885.0,642.0,614.0
2013-03-31,1362.0,953.0,757.0
2013-04-30,1542.0,1201.0,944.0
2013-05-31,1927.0,1513.0,1081.0
2013-06-30,2033.0,1656.0,1253.0
2013-07-31,2217.0,1856.0,1320.0
2013-08-31,2199.0,1686.0,1291.0
2013-09-30,1754.0,1195.0,1006.0
2013-10-31,1739.0,1222.0,1060.0
2013-11-30,1552.0,1114.0,965.0
2013-12-31,1617.0,1226.0,936.0
2014-01-31,1208.0,853.0,714.0
2014-02-28,1004.0,709.0,660.0
2014-03-31,1333.0,891.0,835.0
2014-04-30,1466.0,1085.0,881.0
2014-05-31,1679.0,1330.0,1074.0
2014-06-30,2265.0,1728.0,1262.0
2014-07-31,2303.0,1660.0,1309.0
2014-08-31,2070.0,1554.0,1221.0
2014-09-30,1976.0,1205.0,1098.0
2014-10-31,1930.0,1312.0,1153.0
2014-11-30,1476.0,1012.0,916.0
2014-12-31,1732.0,1166.0,1006.0
2015-01-31,1132.0,868.0,700.0
2015-02-28,1131.0,843.0,705.0
2015-03-31,1380.0,936.0,906.0
2015-04-30,1495.0,1119.0,1036.0
2015-05-31,1885.0,1463.0,1101.0
2015-06-30,2491.0,1887.0,1588.0
