,interest,sp_index,unemp_rate,gdp,inflation,rent_index
1914-12-01,,,,,,21.0
1915-12-01,,,,,,21.2
1916-12-01,,,,,,21.4
1917-12-01,,,,,,21.0
1918-12-01,,,,,,22.0
1919-06-01,,,,,,22.9
1919-12-01,,,,,,24.9
1920-06-01,,,,,,27.0
1920-12-01,,,,,,29.8
1921-05-01,,,,,,31.6
1921-09-01,,,,,,31.8
1921-12-01,,,,,,32.3
1922-03-01,,,,,,32.2
1922-06-01,,,,,,32.4
1922-09-01,,,,,,32.4
1922-12-01,,,,,,32.6
1923-03-01,,,,,,32.8
1923-06-01,,,,,,33.2
1923-09-01,,,,,,33.5
1923-12-01,,,,,,34.0
1924-03-01,,,,,,34.1
1924-06-01,,,,,,34.5
1924-09-01,,,,,,34.6
1924-12-01,,,,,,34.6
1925-06-01,,,,,,34.6
1925-12-01,,,,,,34.5
1926-06-01,,,,,,34.2
1926-12-01,,,,,,34.0
1927-06-01,,,,,,33.7
1927-12-01,,,,,,33.3
1928-06-01,,,,,,32.9
1928-12-01,,,,,,32.5
1929-06-01,,,,,,32.1
1929-12-01,,,,,,31.8
1930-06-01,,,,,,31.3
1930-12-01,,,,,,30.7
1931-06-01,,,,,,29.7
1931-12-01,,,,,,28.6
1932-06-01,,,,,,26.7
1932-12-01,,,,,,24.7
1933-06-01,,,,,,22.7
1933-12-01,,,,,,21.8
1934-06-01,,,,,,21.3
1934-11-01,,,,,,21.3
1935-03-01,,,,,,21.3
1935-07-01,,,,,,21.4
1935-10-01,,,,,,21.5
1936-01-01,,,,,,21.6
1936-04-01,,,,,,21.7
1936-07-01,,,,,,21.9
1936-09-01,,,,,,22.0
1936-12-01,,,,,,22.3
1937-03-01,,,,,,22.4
1937-06-01,,,,,,22.9
1937-09-01,,,,,,23.2
1937-12-01,,,,,,23.5
1938-03-01,,,,,,23.6
1938-06-01,,,,,,23.7
1938-09-01,,,,,,23.7
1938-12-01,,,,,,23.7
1939-03-01,,,,,,23.7
1939-06-01,,,,,,23.7
1939-09-01,,,,,,23.7
1939-12-01,,,,,,23.7
1940-03-01,,,,,,23.7
1940-06-01,,,,,,23.7
1940-09-01,,,,,,23.8
1940-10-01,,,,,,23.8
1940-11-01,,,,,,23.8
