,interest,vacancy,inflation,price,value,adj_price,adj_value,next_quarter,increase,interest_ratio,vacancy_ratio,price_ratio,value_ratio,inflation_ratio
2008-02-02,5.68,10.1,212.174,215000.0,273942.2646345867,101331.925683637,129112.08000725192,115005.01840080295,1,1.0,1.0,1.0,1.0,1.0
2008-02-09,5.67,10.1,212.687,226750.0,273942.2646345867,106612.06373685275,128800.66230403677,112449.35132522955,1,0.9991189427312775,1.0,1.0265987549518958,1.0,1.0012074537319264
2008-02-16,5.72,10.1,212.687,247000.0,273942.2646345867,116133.09699229382,128800.66230403677,113378.68480725624,0,1.0052724077328645,1.0,1.0758620689655172,1.0,1.0008046452972954
2008-02-23,6.04,10.1,212.687,237500.0,273942.2646345867,111666.43941566715,128800.66230403677,109150.2174640348,0,1.0454348766767634,1.0,1.0256410256410255,1.0,1.000603362599752
2008-03-01,6.24,10.1,212.687,220000.0,271370.5482625111,103438.38598503906,127591.50689158766,117793.01884688303,1,1.0630323679727427,1.0,0.9596510359869138,0.9924756290892823,1.0004826318394011
2008-03-08,6.03,10.1,213.448,238450.0,271370.5482625111,111713.39155204078,127136.60857094519,119560.56892436875,1,1.0226116449971734,1.0,1.0332201920993718,0.9937218176789973,1.0033830315660819
2008-03-15,6.13,10.1,213.448,230500.0,271370.5482625111,107988.83100333571,127136.60857094519,113122.69213613351,1,1.033726812816189,1.0,0.9989474987617633,0.9946138701383868,1.0028983406026777
2008-03-22,5.87,10.1,213.448,232650.0,271370.5482625111,108996.10209512386,127136.60857094519,121859.81063445276,1,0.9911355002110595,1.0,1.0072246123873692,0.9952839612214267,1.0025351295687226
2008-03-29,5.85,10.1,213.448,266250.0,271370.5482625111,124737.64101795285,127136.60857094519,120894.12911621749,0,0.9891038887845199,1.0,1.1334610472541506,0.9958057677343781,1.002252813930508
2008-04-05,5.88,10.0,213.942,248000.0,270933.8506934389,115919.26783894701,126638.92582729847,135834.82485297878,1,0.994755540517679,0.9910802775024777,1.0499132128191015,0.994779932766525,1.0041132871754053
