,interest,sp_index,unemp_rate,gdp,inflation,rent_index
1978-01-01,6.7,,6.4,2202.76,62.7,67.1
1978-01-08,,92.925,,,,
1978-01-15,,90.032,,,,
1978-01-22,,89.97,,,,
1978-01-29,,89.008,,,,
1978-02-05,6.78,89.654,6.3,,63.0,67.5
1978-02-12,,90.208,,,,
1978-02-19,,88.554,,,,
1978-02-26,,87.82,,,,
1978-03-05,6.79,87.34400000000001,6.3,,63.4,67.8
1978-03-12,,87.774,,,,
1978-03-19,,89.426,,,,
1978-03-26,,89.86,,,,
1978-04-02,6.89,89.326,6.1,2331.633,63.9,68.2
1978-04-09,,89.384,,,,
1978-04-16,,90.95,,,,
1978-04-23,,94.124,,,,
1978-04-30,,96.38399999999999,,,,
1978-05-07,7.36,96.728,6.0,,64.5,68.7
1978-05-14,,96.65599999999999,,,,
1978-05-21,,98.89,,,,
1978-05-28,,97.52000000000001,,,,
1978-06-04,7.6,97.3975,5.9,,65.0,69.1
1978-06-11,,100.106,,,,
1978-06-18,,98.872,,,,
1978-06-25,,96.42,,,,
1978-07-02,7.81,95.216,6.2,2395.053,65.5,69.4
1978-07-09,,94.6425,,,,
1978-07-16,,96.25399999999999,,,,
1978-07-23,,97.71000000000001,,,,
1978-07-30,,98.95599999999999,,,,
1978-08-06,8.04,102.338,5.9,,65.9,69.7
1978-08-13,,103.93599999999999,,,,
1978-08-20,,104.45599999999999,,,,
1978-08-27,,104.61800000000001,,,,
1978-09-03,8.45,103.56400000000001,6.0,,66.5,70.3
1978-09-10,,105.52,,,,
1978-09-17,,106.35,,,,
1978-09-24,,102.424,,,,
1978-10-01,8.96,102.128,5.8,2476.949,67.1,70.7
1978-10-08,,103.082,,,,
1978-10-15,,104.66400000000002,,,,
1978-10-22,,100.328,,,,
1978-10-29,,96.72,,,,
1978-11-05,9.76,95.36800000000001,5.9,,67.5,71.2
1978-11-12,,94.536,,,,
1978-11-19,,93.292,,,,
1978-11-26,,95.38250000000001,,,,
1978-12-03,10.03,95.054,6.0,,67.9,71.6
1978-12-10,,96.958,,,,
1978-12-17,,96.226,,,,
1978-12-24,,94.676,,,,
1978-12-31,,96.6425,,,,
1979-01-07,10.07,98.06,5.9,2526.61,68.5,71.9
1979-01-14,,99.186,,,,
1979-01-21,,99.8,,,,
1979-01-28,,100.74199999999999,,,,
1979-02-04,10.06,100.398,5.9,,69.2,72.2
1979-02-11,,97.764,,,,
1979-02-18,,98.68,,,,
1979-02-25,,98.65,,,,
1979-03-04,10.09,96.78999999999999,5.8,,69.9,72.4
1979-03-11,,98.69800000000001,,,,
1979-03-18,,99.954,,,,
1979-03-25,,101.216,,,,
1979-04-01,10.01,101.834,5.8,2591.247,70.6,72.7
1979-04-08,,102.478,,,,
1979-04-15,,102.63,,,,
1979-04-22,,101.314,,,,
1979-04-29,,102.01599999999999,,,,
1979-05-06,10.24,101.53,5.6,,71.4,73.4
1979-05-13,,98.938,,,,
1979-05-20,,98.898,,,,
1979-05-27,,100.136,,,,
1979-06-03,10.29,99.35249999999999,5.7,,72.2,73.8
1979-06-10,,100.704,,,,
1979-06-17,,102.272,,,,
1979-06-24,,101.9,,,,
1979-07-01,10.47,102.346,5.7,2667.565,73.0,74.3
1979-07-08,,102.5325,,,,
1979-07-15,,103.46399999999998,,,,
1979-07-22,,101.938,,,,
1979-07-29,,102.56800000000001,,,,
1979-08-05,10.94,103.854,6.0,,73.7,75.0
1979-08-12,,105.56400000000001,,,,
1979-08-19,,107.91600000000001,,,,
1979-08-26,,108.792,,,,
1979-09-02,11.43,109.104,5.9,,74.4,75.6
1979-09-09,,107.0325,,,,
1979-09-16,,108.022,,,,
1979-09-23,,109.22,,,,
1979-09-30,,109.756,,,,
1979-10-07,13.77,109.83600000000001,6.0,2723.883,75.2,76.6
1979-10-14,,106.27000000000001,,,,
1979-10-21,,103.03,,,,
1979-10-28,,100.4,,,,
1979-11-04,13.18,102.056,5.9,,76.0,76.9
1979-11-11,,100.94,,,,
1979-11-18,,103.55199999999999,,,,
1979-11-25,,104.12,,,,
1979-12-02,13.78,106.63499999999999,6.0,,76.9,77.3
1979-12-09,,107.078,,,,
1979-12-16,,107.854,,,,
1979-12-23,,108.33600000000001,,,,
1979-12-30,,107.865,,,,
1980-01-06,13.82,106.36,6.3,2789.842,78.0,77.8
1980-01-13,,108.924,,,,
1980-01-20,,110.86800000000001,,,,
1980-01-27,,112.872,,,,
1980-02-03,14.13,114.872,6.3,,79.0,78.4
1980-02-10,,115.796,,,,
1980-02-17,,117.11800000000001,,,,
1980-02-24,,115.3475,,,,
1980-03-02,17.19,113.14000000000001,6.3,,80.1,78.8
1980-03-09,,110.39200000000001,,,,
1980-03-16,,106.44200000000001,,,,
1980-03-23,,103.22,,,,
1980-03-30,,99.21000000000001,,,,
1980-04-06,17.61,102.275,6.9,2797.352,80.9,79.0
1980-04-13,,102.474,,,,
1980-04-20,,101.72200000000001,,,,
1980-04-27,,103.304,,,,
1980-05-04,10.98,105.766,7.5,,81.7,79.8
1980-05-11,,106.13199999999999,,,,
1980-05-18,,106.454,,,,
1980-05-25,,108.52799999999999,,,,
1980-06-01,9.47,111.2425,7.6,,82.5,80.7
1980-06-08,,111.97200000000001,,,,
1980-06-15,,115.144,,,,
1980-06-22,,115.42,,,,
1980-06-29,,115.71199999999999,,,,
1980-07-06,9.03,115.5775,7.8,2856.483,82.6,81.1
1980-07-13,,117.78,,,,
1980-07-20,,120.484,,,,
1980-07-27,,121.84,,,,
1980-08-03,9.61,121.78800000000001,7.7,,83.2,81.6
1980-08-10,,122.03599999999999,,,,
